,BHK,SQUARE_FT,READY_TO_MOVE,PRICE,City
1,2,1250.0,1,32.0,Agra
2,2,1237.38196,1,38.0,Agra
3,3,1550.387597,1,48.0,Agra
4,3,1604.464597,1,46.0,Agra
5,2,858.2524272,0,22.1,Agra
6,2,1200.120012,1,40.0,Agra
7,2,1100.173712,1,38.0,Agra
8,2,686.9881711,0,15.1,Agra
9,2,1250.0,1,27.9,Agra
10,2,1250.0,1,27.9,Agra
11,2,1250.0,1,27.9,Agra
12,3,1250.0,1,49.0,Agra
13,2,1530.456076,1,50.0,Agra
15,2,1248.025276,1,31.6,Agra
18,2,1124.236253,1,27.6,Agra
19,2,1250.0,1,27.9,Agra
20,2,1100.196464,1,28.0,Agra
21,2,1150.378651,1,31.9,Agra
22,2,1065.224517,1,32.5,Agra
23,2,980.0490025,1,28.0,Agra
26,3,1704.918033,1,52.0,Agra
27,3,1365.291262,1,45.0,Agra
28,2,1275.11592,1,33.0,Agra
29,2,1050.328228,1,24.0,Agra
30,2,680.0,1,13.6,Agra
31,2,876.1449622,1,22.0,Agra
32,2,968.6793671,1,30.0,Agra
33,2,687.7865777,0,16.5,Agra
34,3,1900.0,1,66.5,Agra
35,1,433.5961189,1,14.3,Agra
36,2,1250.0,1,40.5,Agra
37,2,753.4983854,1,28.0,Agra
38,4,2750.275028,1,100.0,Agra
39,2,900.2057613,1,35.0,Agra
40,2,753.1194296,1,16.9,Agra
42,2,1350.438893,1,40.0,Agra
44,2,1067.399479,0,36.9,Agra
45,2,1250.0,1,27.9,Agra
46,2,840.0,1,21.0,Agra
47,3,1399.776036,1,50.0,Agra
49,2,1350.308642,1,35.0,Agra
50,2,602.7727547,1,20.0,Agra
51,2,1000.0,1,35.0,Agra
53,3,1962.708538,1,60.0,Agra
54,3,1100.110011,1,40.0,Agra
55,3,1200.120012,1,40.0,Agra
56,2,1246.092005,1,27.9,Agra
57,3,1882.142857,1,52.7,Agra
58,3,1749.920458,1,55.0,Agra
59,2,687.7865777,0,16.5,Agra
60,3,1480.484522,1,44.0,Agra
61,1,630.169358,1,16.0,Ahmednagar
62,2,1000.0,1,52.0,Ahmednagar
63,1,687.521485,1,20.0,Ahmednagar
64,2,955.2401747,1,35.0,Ahmednagar
65,1,540.1026195,1,20.0,Ahmednagar
66,1,450.1028807,1,17.5,Ahmednagar
67,2,986.8421053,1,45.0,Ahmednagar
68,1,511.991377,1,19.0,Ahmednagar
69,1,548.5479613,1,18.7,Ahmednagar
70,2,750.0,1,30.0,Ahmednagar
72,1,742.0091324,1,26.0,Ahmednagar
73,1,665.1884701,1,18.0,Ahmednagar
74,3,1399.906673,1,60.0,Ahmednagar
75,1,800.0,1,22.0,Ahmednagar
76,2,900.2057613,1,35.0,Ahmednagar
77,2,1000.0,1,32.0,Ahmednagar
78,2,760.0,1,26.6,Ahmednagar
79,1,669.8920729,1,18.0,Ahmednagar
80,1,780.141844,1,22.0,Ahmednagar
82,1,630.0630063,1,14.0,Ahmednagar
83,1,590.0202293,1,17.5,Ahmednagar
84,3,1773.274224,1,56.0,Ajmer
88,2,1444.444444,1,40.3,Ajmer
90,2,1010.10101,1,26.0,Ajmer
91,2,1125.04018,1,35.0,Ajmer
92,3,1534.090909,1,45.9,Ajmer
93,2,800.1488649,0,21.5,Ajmer
94,3,1774.647887,1,50.4,Ajmer
95,2,1225.806452,1,34.2,Ajmer
96,2,1250.896057,1,34.9,Ajmer
97,3,1300.390117,1,40.0,Aligarh
98,5,2100.656455,1,48.0,Aligarh
99,3,1321.81599,0,32.9,Aligarh
101,4,1475.304682,1,46.0,Aligarh
103,3,1340.816963,1,43.0,Aligarh
104,2,1250.0,1,28.0,Aligarh
105,3,1250.0,1,38.5,Aligarh
106,2,1200.0,1,36.0,Aligarh
107,3,1396.670727,1,34.4,Aligarh
108,2,896.7173739,1,22.4,Aligarh
109,3,1200.0,1,45.0,Aligarh
110,3,1350.21097,1,32.0,Aligarh
111,2,1073.878628,0,40.7,Allahabad
112,2,636.682243,0,21.8,Allahabad
113,1,600.0,1,30.0,Allahabad
114,2,1245.256985,0,36.1,Allahabad
115,2,1138.408304,0,32.9,Allahabad
116,3,1900.0,1,77.9,Allahabad
117,1,735.8738502,1,28.0,Allahabad
118,2,1137.931034,0,33.0,Allahabad
119,3,1440.189766,1,85.0,Allahabad
120,2,950.1187648,1,36.0,Allahabad
122,2,800.0,1,50.0,Allahabad
123,2,1031.033598,1,40.2,Allahabad
125,2,1050.199538,1,50.0,Allahabad
126,2,1038.48947,1,42.9,Allahabad
127,1,578.3086841,0,30.5,Allahabad
128,2,1040.0,0,41.6,Allahabad
129,2,992.9964982,1,39.7,Allahabad
130,1,333.6604514,1,17.0,Allahabad
131,2,1000.0,1,42.0,Allahabad
132,3,1368.147448,1,57.9,Allahabad
133,2,1036.814425,1,41.4,Allahabad
134,2,1248.020272,0,39.4,Allahabad
135,2,1186.186186,1,47.4,Allahabad
136,2,650.026001,1,25.0,Allahabad
137,1,487.012987,1,15.0,Allahabad
138,2,1238.019169,0,46.5,Allahabad
139,2,808.9631599,0,42.6,Allahabad
140,2,995.0248756,1,40.0,Allahabad
141,2,1040.154814,0,43.0,Allahabad
142,2,1039.02439,1,42.6,Allahabad
144,2,822.2222222,0,25.9,Allahabad
145,3,1200.154859,1,62.0,Allahabad
146,3,1250.0,1,25.0,Alwar
147,2,1210.235131,1,35.0,Alwar
148,3,1250.0,1,26.0,Alwar
149,2,1139.287027,1,31.0,Alwar
150,3,1200.274348,1,35.0,Alwar
151,3,1250.0,1,26.0,Alwar
152,1,650.0742942,1,17.5,Amravati
153,2,800.0,1,35.0,Amravati
154,1,734.8530294,1,24.5,Amravati
155,2,1100.190235,1,34.7,Amravati
156,2,1025.01025,1,50.0,Amravati
157,2,731.5288954,1,30.0,Amravati
158,2,980.1095417,1,34.0,Amravati
159,2,850.0303582,1,28.0,Amravati
160,2,899.9357189,1,42.0,Amravati
161,2,780.0312012,1,35.0,Amravati
162,2,1000.0,1,47.0,Amravati
163,2,950.0206526,1,46.0,Amravati
164,3,1365.103003,1,55.0,Amravati
165,1,800.0,1,22.0,Amravati
166,1,500.0,1,25.0,Amravati
167,2,1100.070972,1,31.0,Amravati
168,2,860.2150538,1,32.0,Amravati
169,2,1480.086114,1,55.0,Amravati
170,2,900.140647,1,32.0,Amravati
171,1,425.0495891,1,15.0,Amravati
172,2,1396.484375,1,42.9,Amravati
173,2,1150.22656,1,33.0,Amravati
174,2,1267.197683,1,35.0,Amritsar
175,2,1170.177198,1,35.0,Amritsar
176,2,719.9424046,1,20.0,Amritsar
177,2,1500.164853,1,45.5,Amritsar
178,2,1200.0,1,42.0,Amritsar
179,2,1207.906296,1,33.0,Amritsar
180,2,1550.387597,0,36.0,Amritsar
182,2,1400.0,1,28.0,Anand
183,2,1159.725883,1,22.0,Anand
184,1,600.0,1,9.0,Anand
185,1,1800.720288,1,15.0,Anand
188,2,635.6440393,1,26.5,Anand
189,2,1465.048137,1,35.0,Anand
191,2,900.4237288,1,17.0,Anand
192,2,1109.09914,1,24.5,Anand
193,2,640.2048656,1,15.0,Anand
194,2,1099.706745,1,30.0,Anand
195,3,1850.328947,1,45.0,Anand
196,2,1200.0,1,32.1,Anand
198,1,730.2231237,1,18.0,Anand
199,2,1260.300533,1,26.0,Anand
200,2,1250.0,1,30.0,Anand
201,2,1199.616123,1,25.0,Anand
202,2,900.2520706,1,25.0,Anand
203,1,520.0594354,1,14.0,Anand
205,2,820.0455581,1,18.0,Anand
206,3,1400.0,1,35.0,Anand
207,1,612.244898,1,3.9,Anand
208,2,1250.0,1,26.0,Anand
210,2,749.7273719,1,27.5,Anand
212,2,1300.578035,1,27.0,Anand
